1102501,Washington,20019,District of Columbia,District of Columbia,Territory
110251,Washington,20001,District of Columbia,District of Columbia,Territory
1102511,Washington,20002,District of Columbia,District of Columbia,Territory
1102521,Washington,20009,District of Columbia,District of Columbia,Territory
1102531,Washington,20003,District of Columbia,District of Columbia,Territory
1102541,Washington,20018,District of Columbia,District of Columbia,Territory
1102551,Washington,20017,District of Columbia,District of Columbia,Territory
1102561,Washington,20017,District of Columbia,District of Columbia,Territory
1102571,Washington,20019,District of Columbia,District of Columbia,Territory
1102581,Washington,20032,District of Columbia,District of Columbia,Territory
1102591,Washington,20019,District of Columbia,District of Columbia,Territory
1102601,Washington,20019,District of Columbia,District of Columbia,Territory
110261,Washington,20009,District of Columbia,District of Columbia,Territory
1102611,Washington,20024,District of Columbia,District of Columbia,Territory
1102621,Oxon Hill,20745,District of Columbia,District of Columbia,Territory
110271,Washington,20001,District of Columbia,District of Columbia,Territory
110281,Washington,20003,District of Columbia,District of Columbia,Territory
110291,Washington,20003,District of Columbia,District of Columbia,Territory
7201587,Aibonito,00705,Puerto Rico,Puerto Rico,Territory
7201597,Humacao,00791,Puerto Rico,Puerto Rico,Territory
7201607,Las Piedras,00771,Puerto Rico,Puerto Rico,Territory
7201617,Toa Baja,00951,Puerto Rico,Puerto Rico,Territory
7201627,Carolina,00983,Puerto Rico,Puerto Rico,Territory
7201637,Ponce,00731,Puerto Rico,Puerto Rico,Territory
7201647,Corozal,00783,Puerto Rico,Puerto Rico,Territory
7201657,Juncos,00777,Puerto Rico,Puerto Rico,Territory
7201667,Morovis,00687,Puerto Rico,Puerto Rico,Territory
7201677,Gurabo,00778,Puerto Rico,Puerto Rico,Territory
7201687,Toa Baja,00949,Puerto Rico,Puerto Rico,Territory
7201697,Canovanas,00745,Puerto Rico,Puerto Rico,Territory
7201707,Lares,00669,Puerto Rico,Puerto Rico,Territory
7201717,Sabana Grande,00637,Puerto Rico,Puerto Rico,Territory
7201727,Aguada,00602,Puerto Rico,Puerto Rico,Territory
7201737,Maunabo,00707,Puerto Rico,Puerto Rico,Territory
7201747,Toa Baja,00949,Puerto Rico,Puerto Rico,Territory
7201757,Patillas,00723,Puerto Rico,Puerto Rico,Territory
7201767,Santa Isabel,00757,Puerto Rico,Puerto Rico,Territory
7201777,Yabucoa,00767,Puerto Rico,Puerto Rico,Territory
7201787,Penuelas,00624,Puerto Rico,Puerto Rico,Territory
7201797,Dorado,00646,Puerto Rico,Puerto Rico,Territory
